season,player_id,player_name,position,nfl_team,espn_rank,espn_rank_type,espn_ppr_rank,espn_sf_auction,adp,percent_owned,projected
2026,4426354,George Pickens,WR,DAL,63,SUPERFLEX,27,14,28.3,99.7,239.3
2026,4429615,Zay Flowers,WR,BAL,64,SUPERFLEX,38,13,43.8,98.6,238.5
2026,4685472,Tetairoa McMillan,WR,CAR,65,SUPERFLEX,36,13,43.0,98.8,235.9
2026,4241478,DeVonta Smith,WR,PHI,66,SUPERFLEX,34,12,36.1,99.3,239.1
2026,4567750,Emeka Egbuka,WR,TB,67,SUPERFLEX,39,11,45.4,98.1,228.8
2026,16800,Davante Adams,WR,LAR,68,SUPERFLEX,45,11,46.0,98.7,232.2
2026,4612826,Ladd McConkey,WR,LAC,69,SUPERFLEX,41,10,46.3,97.8,221.0
2026,3121422,Terry McLaurin,WR,WSH,70,SUPERFLEX,51,10,60.9,96.1,218.0
2026,4685702,Quinshon Judkins,RB,CLE,71,SUPERFLEX,40,10,47.7,97.1,226.7
2026,4696981,Cam Skattebo,RB,NYG,72,SUPERFLEX,46,10,45.3,98.7,227.4
2026,4596448,Bucky Irving,RB,TB,73,SUPERFLEX,50,9,56.4,96.6,206.9
2026,4259545,D'Andre Swift,RB,CHI,74,SUPERFLEX,47,9,53.0,95.9,209.9
2026,3917315,Kyler Murray,QB,MIN,75,SUPERFLEX,151,9,137.1,68.0,283.1
2026,4360689,Tyler Shough,QB,NO,78,SUPERFLEX,158,8,152.8,48.8,265.1
2026,4723086,Colston Loveland,TE,CHI,80,SUPERFLEX,43,8,42.2,99.6,206.6
2026,4431459,Tyler Warren,TE,IND,81,SUPERFLEX,53,8,51.4,99.1,210.5
2026,4239993,Tee Higgins,WR,CIN,82,SUPERFLEX,42,7,53.0,97.3,218.9
2026,4372016,Jaylen Waddle,WR,DEN,84,SUPERFLEX,49,7,53.4,97.0,213.0
2026,4431299,Rome Odunze,WR,CHI,85,SUPERFLEX,55,7,67.8,94.9,213.2
2026,4426388,Jameson Williams,WR,DET,86,SUPERFLEX,54,7,64.3,95.6,208.3
2026,3915416,DJ Moore,WR,BUF,87,SUPERFLEX,52,6,58.3,95.9,209.6
2026,4685278,Luther Burden III,WR,CHI,88,SUPERFLEX,64,6,74.7,93.0,206.5
2026,4882093,Bhayshul Tuten,RB,JAX,89,SUPERFLEX,48,6,62.3,93.9,206.0
2026,4035538,David Montgomery,RB,HOU,90,SUPERFLEX,60,6,62.0,94.9,199.7
2026,4685512,Jadarian Price,RB,SEA,91,SUPERFLEX,62,6,66.0,94.1,194.1
2026,4569173,Rhamondre Stevenson,RB,NE,92,SUPERFLEX,72,6,76.7,91.6,206.7
2026,4360248,Kyle Pitts Sr.,TE,ATL,93,SUPERFLEX,77,5,68.7,96.7,185.0
2026,5083076,Harold Fannin Jr.,TE,CLE,96,SUPERFLEX,76,5,70.6,95.6,188.9
2026,4430027,Sam LaPorta,TE,DET,97,SUPERFLEX,89,5,75.0,95.8,188.7
2026,4569987,Jaylen Warren,RB,PIT,98,SUPERFLEX,88,5,85.3,90.8,194.0
2026,4871023,Carnell Tate,WR,TEN,99,SUPERFLEX,67,4,81.1,92.9,202.2
2026,3046779,Jared Goff,QB,DET,100,SUPERFLEX,162,4,137.6,69.8,268.3
2026,3917792,Daniel Jones,QB,IND,102,SUPERFLEX,185,4,161.1,36.8,266.1
2026,3052587,Baker Mayfield,QB,TB,104,SUPERFLEX,179,4,147.7,58.0,264.3
2026,3128429,Courtland Sutton,WR,DEN,106,SUPERFLEX,80,4,82.0,92.6,204.1
2026,4035687,Michael Pittman Jr.,WR,PIT,107,SUPERFLEX,74,4,90.5,90.3,197.2
2026,4432708,Marvin Harrison Jr.,WR,ARI,108,SUPERFLEX,69,4,79.4,92.3,193.6
2026,4047650,DK Metcalf,WR,PIT,109,SUPERFLEX,78,4,86.0,92.1,195.8
2026,4432620,Parker Washington,WR,JAX,111,SUPERFLEX,87,4,90.4,89.3,187.2
2026,4360078,Alec Pierce,WR,IND,112,SUPERFLEX,108,3,104.7,86.4,185.3
2026,4038815,Rico Dowdle,RB,PIT,113,SUPERFLEX,106,3,97.1,89.1,188.3
2026,4678008,Jonathon Brooks,RB,CAR,114,SUPERFLEX,95,3,105.0,84.6,179.6
2026,4685415,Travis Hunter,WR,JAX,115,SUPERFLEX,109,3,118.8,74.6,103.6
2026,4432710,TreVeyon Henderson,RB,NE,116,SUPERFLEX,66,3,77.7,92.5,187.5
2026,4248528,Christian Watson,WR,GB,117,SUPERFLEX,81,3,88.7,89.9,188.5
2026,16737,Mike Evans,WR,SF,118,SUPERFLEX,68,3,83.8,91.0,180.0
2026,4701936,Matthew Golden,WR,GB,119,SUPERFLEX,125,3,115.3,85.0,188.6
2026,4432773,Brian Thomas Jr.,WR,JAX,120,SUPERFLEX,118,3,113.3,84.5,176.7
2026,3916148,Tony Pollard,RB,TEN,122,SUPERFLEX,75,3,86.0,90.1,185.5
2026,4371733,Kenny Gainwell,RB,TB,123,SUPERFLEX,90,2,100.0,86.3,177.7
2026,4241416,Chuba Hubbard,RB,CAR,124,SUPERFLEX,111,2,111.8,84.9,180.0
2026,4241985,J.K. Dobbins,RB,DEN,125,SUPERFLEX,121,2,111.4,84.5,174.8
2026,4360761,Michael Wilson,WR,ARI,126,SUPERFLEX,100,2,105.2,86.4,176.4
2026,3916433,Jakobi Meyers,WR,JAX,127,SUPERFLEX,112,2,121.4,80.4,181.9
2026,3040151,George Kittle,TE,SF,129,SUPERFLEX,79,2,69.0,94.5,193.3
2026,4572680,Tucker Kraft,TE,GB,130,SUPERFLEX,110,2,90.8,91.1,172.0
2026,4569587,Wan'Dale Robinson,WR,TEN,131,SUPERFLEX,93,2,111.7,82.4,174.8
2026,4242512,Malik Willis,QB,MIA,132,SUPERFLEX,223,2,167.4,21.4,239.3
2026,4036378,Jordan Love,QB,GB,135,SUPERFLEX,208,2,155.4,42.6,262.6
2026,4432577,C.J. Stroud,QB,HOU,138,SUPERFLEX,285,2,165.3,24.5,246.1
2026,3912547,Sam Darnold,QB,SEA,140,SUPERFLEX,287,2,162.6,26.9,242.5
2026,4429205,Jordan Addison,WR,MIN,142,SUPERFLEX,129,2,124.8,80.5,170.7
2026,4710714,De'Zhaun Stribling,WR,SF,143,SUPERFLEX,150,2,137.8,65.2,160.1
2026,4373678,Khalil Shakir,WR,BUF,144,SUPERFLEX,134,2,138.6,70.5,171.2
2026,4362249,Jayden Reed,WR,GB,147,SUPERFLEX,147,2,139.9,71.6,173.4
2026,3121023,Dallas Goedert,TE,PHI,148,SUPERFLEX,131,2,101.2,90.4,176.9
2026,15847,Travis Kelce,TE,KC,149,SUPERFLEX,124,2,93.8,91.2,177.2
2026,4242355,Jake Ferguson,TE,DAL,150,SUPERFLEX,140,2,114.8,86.0,166.6
2026,3116365,Mark Andrews,TE,BAL,152,SUPERFLEX,149,2,126.4,81.7,169.1
2026,4361050,Isaiah Likely,TE,NYG,154,SUPERFLEX,144,2,122.5,81.5,155.1
2026,4685720,Bryce Young,QB,CAR,155,SUPERFLEX,319,2,168.7,10.7,237.7
2026,4688380,Cam Ward,QB,TEN,157,SUPERFLEX,320,2,169.2,9.3,219.6
2026,2578570,Jacoby Brissett,QB,ARI,159,SUPERFLEX,321,2,169.8,5.2,198.5
2026,4683062,Xavier Worthy,WR,KC,162,SUPERFLEX,152,2,133.2,76.3,173.0
2026,4429025,Quentin Johnston,WR,LAC,163,SUPERFLEX,145,1,135.2,75.0,165.4
2026,2976212,Stefon Diggs,WR,WSH,164,SUPERFLEX,107,1,104.2,83.8,172.9
2026,4047365,Josh Jacobs,RB,GB,165,SUPERFLEX,92,1,100.9,91.3,164.0
2026,4429023,MarShawn Lloyd,RB,GB,166,SUPERFLEX,102,1,103.6,80.9,134.4
2026,4608686,Kyle Monangai,RB,CHI,168,SUPERFLEX,123,1,125.2,78.8,174.7
2026,4575131,Jacory Croskey-Merritt,RB,WSH,169,SUPERFLEX,146,1,137.6,71.7,158.8
2026,3042519,Aaron Jones Sr.,RB,MIN,170,SUPERFLEX,117,1,117.2,81.9,178.2
2026,4385690,Dalton Kincaid,TE,BUF,171,SUPERFLEX,156,1,132.0,75.6,155.5
2026,4036133,T.J. Hockenson,TE,MIN,172,SUPERFLEX,196,1,154.3,60.5,158.4
2026,3046439,Hunter Henry,TE,NE,173,SUPERFLEX,195,1,153.0,55.9,150.1
2026,4570037,Terrance Ferguson,TE,LAR,175,SUPERFLEX,213,1,167.8,26.4,135.7
2026,4697815,Rachaad White,RB,WSH,176,SUPERFLEX,120,1,129.3,74.7,164.1
2026,4360569,Jordan Mason,RB,MIN,177,SUPERFLEX,159,1,140.5,68.5,152.3
2026,4429096,Blake Corum,RB,LAR,178,SUPERFLEX,137,1,127.3,77.7,159.3
2026,4568490,RJ Harvey,RB,DEN,181,SUPERFLEX,132,1,128.8,76.4,149.4
2026,4688813,Josh Downs,WR,IND,182,SUPERFLEX,130,1,138.1,70.8,157.5
2026,4870653,KC Concepcion,WR,CLE,183,SUPERFLEX,168,1,148.7,65.0,156.0
2026,4870795,Makai Lemon,WR,PHI,184,SUPERFLEX,143,1,135.8,74.1,155.2
2026,3116165,Chris Godwin Jr.,WR,TB,185,SUPERFLEX,126,1,125.2,76.8,157.2
2026,3126486,Deebo Samuel Sr.,WR,SF,187,SUPERFLEX,161,1,145.1,68.6,149.5
2026,4361432,Romeo Doubs,WR,NE,189,SUPERFLEX,153,1,148.8,61.9,150.4
2026,4695883,Jalen Coker,WR,CAR,190,SUPERFLEX,155,1,154.8,51.1,146.9
2026,4032473,Rashid Shaheed,WR,SEA,191,SUPERFLEX,214,1,160.4,44.3,144.4
2026,4430834,Jalen McMillan,WR,TB,192,SUPERFLEX,170,1,163.4,33.0,132.7
2026,4429059,Woody Marks,RB,HOU,196,SUPERFLEX,163,1,152.3,59.8,131.8
2026,4426385,Zach Charbonnet,RB,SEA,197,SUPERFLEX,174,1,155.9,55.1,134.0
2026,4428557,Tyjae Spears,RB,TEN,198,SUPERFLEX,157,1,151.4,55.9,154.3
2026,4362619,Chris Rodriguez Jr.,RB,JAX,199,SUPERFLEX,184,1,164.6,31.7,72.0
2026,15864,Geno Smith,QB,NYJ,200,SUPERFLEX,382,1,170.0,3.9,232.7
2026,4686658,Mike Washington Jr.,RB,LV,204,SUPERFLEX,193,1,162.7,40.2,67.1
2026,4241474,Brian Robinson Jr.,RB,ATL,205,SUPERFLEX,211,1,168.0,27.2,93.8
2026,4832800,Denzel Boston,WR,CLE,206,SUPERFLEX,215,1,169.0,26.2,142.3
2026,4241463,Jerry Jeudy,WR,CLE,207,SUPERFLEX,216,1,168.8,28.0,139.8
2026,3925357,Calvin Ridley,WR,TEN,208,SUPERFLEX,218,1,170.2,24.3,135.3
2026,4597500,Adonai Mitchell,WR,NYJ,210,SUPERFLEX,221,1,171.3,16.1,127.8
2026,4869645,Caleb Douglas,WR,MIA,212,SUPERFLEX,222,1,170.9,16.0,113.3
2026,4880281,Jordyn Tyson,WR,NO,213,SUPERFLEX,226,1,168.1,37.1,99.8
2026,4428718,Tre Tucker,WR,LV,214,SUPERFLEX,227,1,169.5,26.6,137.9
2026,4382466,Jalen Nailor,WR,LV,217,SUPERFLEX,228,1,171.2,13.0,124.2
2026,4373626,Tyler Allgeier,RB,ARI,219,SUPERFLEX,190,0,164.0,36.3,92.6
2026,4596334,Keaton Mitchell,RB,LAC,220,SUPERFLEX,198,0,169.3,21.9,93.9
2026,4702555,Jonah Coleman,RB,DEN,221,SUPERFLEX,178,0,162.8,29.4,74.4
2026,5083315,Kenyon Sadiq,TE,NYJ,222,SUPERFLEX,234,0,166.9,39.4,146.0
2026,4837248,Fernando Mendoza,QB,LV,226,SUPERFLEX,385,0,168.8,8.8,187.5
2026,8439,Aaron Rodgers,QB,PIT,228,SUPERFLEX,387,0,169.1,7.2,218.8
2026,3122840,Deshaun Watson,QB,CLE,230,SUPERFLEX,390,0,170.1,2.0,78.2
2026,4241479,Tua Tagovailoa,QB,ATL,232,SUPERFLEX,422,0,170.1,1.8,115.3
2026,-16034,Texans D/ST,DEF,HOU,234,SUPERFLEX,173,0,92.3,99.0,129.1
2026,-16007,Broncos D/ST,DEF,DEN,236,SUPERFLEX,176,0,98.0,98.7,130.8
2026,-16023,Steelers D/ST,DEF,PIT,238,SUPERFLEX,241,0,121.5,96.6,124.6
2026,-16026,Seahawks D/ST,DEF,SEA,239,SUPERFLEX,242,0,112.8,98.1,122.3
2026,-16014,Rams D/ST,DEF,LAR,240,SUPERFLEX,243,0,97.7,97.7,124.4
2026,-16033,Ravens D/ST,DEF,BAL,241,SUPERFLEX,246,0,133.8,90.8,118.6
2026,-16021,Eagles D/ST,DEF,PHI,243,SUPERFLEX,248,0,137.5,88.8,107.1
2026,-16005,Browns D/ST,DEF,CLE,246,SUPERFLEX,249,0,158.4,59.9,104.0
2026,-16017,Patriots D/ST,DEF,NE,247,SUPERFLEX,250,0,154.1,69.2,100.5
2026,-16008,Lions D/ST,DEF,DET,248,SUPERFLEX,252,0,155.3,71.7,108.0
2026,-16012,Chiefs D/ST,DEF,KC,249,SUPERFLEX,254,0,166.5,37.8,100.4
2026,-16024,Chargers D/ST,DEF,LAC,250,SUPERFLEX,256,0,165.1,54.7,94.5
2026,3953687,Brandon Aubrey,K,DAL,251,SUPERFLEX,202,0,80.5,99.8,171.5
2026,4362081,Cameron Dicker,K,LAC,252,SUPERFLEX,203,0,109.0,98.7,161.9
2026,2473037,Jason Myers,K,SEA,253,SUPERFLEX,204,0,112.3,98.4,158.5
2026,4574716,Harrison Mevis,K,LAR,254,SUPERFLEX,206,0,129.1,93.3,159.4
2026,2971573,Ka'imi Fairbairn,K,HOU,257,SUPERFLEX,205,0,122.5,95.6,157.8
2026,4034949,Eddy Pineiro,K,SF,259,SUPERFLEX,207,0,142.4,85.4,155.1
2026,3055899,Harrison Butker,K,KC,260,SUPERFLEX,259,0,143.8,81.8,148.8
2026,4686361,Cam Little,K,JAX,261,SUPERFLEX,260,0,140.5,88.8,146.9
2026,4689936,Jake Bates,K,DET,263,SUPERFLEX,263,0,156.3,72.5,145.9
2026,4697745,Tyler Loop,K,BAL,266,SUPERFLEX,266,0,165.5,52.5,145.9
2026,17427,Cairo Santos,K,CHI,267,SUPERFLEX,267,0,168.8,34.3,144.1
2026,4567104,Will Reichard,K,MIN,270,SUPERFLEX,270,0,167.7,32.8,142.5
2026,15818,Keenan Allen,WR,IND,271,SUPERFLEX,200,0,165.7,29.9,124.1
2026,4685247,Braelon Allen,RB,NYJ,274,SUPERFLEX,229,0,171.0,13.1,76.7
2026,4429013,Tank Bigsby,RB,PHI,277,SUPERFLEX,230,0,169.7,19.4,64.1
2026,4429501,Ray Davis,RB,BUF,280,SUPERFLEX,239,0,170.9,10.0,38.2
2026,5081397,Dylan Sampson,RB,CLE,281,SUPERFLEX,194,0,169.8,19.7,88.2
2026,4360939,Rashod Bateman,WR,BAL,284,SUPERFLEX,235,0,171.4,9.3,122.3
2026,4241457,Najee Harris,RB,NYG,286,SUPERFLEX,240,0,170.1,12.1,78.5
2026,3054850,Alvin Kamara,RB,NO,289,SUPERFLEX,187,0,163.6,38.6,113.3
2026,4038441,Justice Hill,RB,BAL,291,SUPERFLEX,276,0,170.2,18.3,120.1
2026,4696044,Kaelon Black,RB,SF,294,SUPERFLEX,281,0,169.9,13.2,60.3
2026,4428850,Dontayvion Wicks,WR,PHI,295,SUPERFLEX,236,0,171.0,10.2,108.7
2026,4569559,Devaughn Vele,WR,NO,298,SUPERFLEX,237,0,171.5,10.8,123.2
2026,4586312,Jaylin Noel,WR,HOU,301,SUPERFLEX,238,0,171.5,8.2,131.6
2026,4432762,Shedeur Sanders,QB,CLE,304,SUPERFLEX,429,0,169.9,2.3,142.6
2026,14880,Kirk Cousins,QB,LV,305,SUPERFLEX,430,0,169.9,2.9,45.8
2026,4360423,Michael Penix Jr.,QB,ATL,307,SUPERFLEX,440,0,170.1,1.0,111.8
2026,4433970,J.J. McCarthy,QB,MIN,310,SUPERFLEX,447,0,169.9,0.8,10.1
2026,4870847,Ja'Kobi Lane,WR,BAL,312,SUPERFLEX,283,0,169.2,17.8,109.7
2026,3886598,Jauan Jennings,WR,MIN,313,SUPERFLEX,290,0,171.1,8.5,114.7
2026,4682648,Malachi Fields,WR,NYG,314,SUPERFLEX,293,0,171.0,6.0,86.3
2026,4430968,Kimani Vidal,RB,LAC,315,SUPERFLEX,310,0,171.0,3.3,36.4
2026,4682745,Jaylen Wright,RB,MIA,316,SUPERFLEX,311,0,170.7,2.8,45.7
2026,4711533,Ollie Gordon II,RB,MIA,318,SUPERFLEX,312,0,170.7,1.6,33.8
2026,3116389,Samaje Perine,RB,CIN,319,SUPERFLEX,201,0,170.8,11.9,100.3
2026,3915411,Ty Johnson,RB,BUF,320,SUPERFLEX,322,0,170.8,1.8,84.8
2026,3149687,Chris Brooks,RB,GB,321,SUPERFLEX,324,0,170.7,7.4,70.6
2026,4596602,Brashard Smith,RB,KC,322,SUPERFLEX,326,0,170.5,0.9,59.7
2026,4240603,Malik Davis,RB,DAL,323,SUPERFLEX,327,0,170.5,3.1,57.6
2026,4832955,Emmett Johnson,RB,KC,324,SUPERFLEX,343,0,169.9,6.5,53.9
2026,4361529,Isiah Pacheco,RB,DET,325,SUPERFLEX,180,0,166.9,36.1,71.0
2026,4695404,Isaiah Davis,RB,NYJ,326,SUPERFLEX,344,0,170.4,0.7,51.0
2026,4383429,Jacob Saylors,RB,DET,327,SUPERFLEX,345,0,170.3,2.5,42.7
2026,3929645,Juwan Johnson,TE,NO,329,SUPERFLEX,186,0,157.2,46.0,146.7
2026,4430539,Brenton Strange,TE,JAX,330,SUPERFLEX,274,0,168.7,23.2,142.6
2026,4685261,Germie Bernard,WR,PIT,331,SUPERFLEX,296,0,171.2,6.1,108.7
2026,4686612,Tre' Harris,WR,LAC,332,SUPERFLEX,297,0,171.1,4.2,89.9
2026,4430841,Carson Beck,QB,ARI,333,SUPERFLEX,451,0,170.0,0.8,29.3
2026,4362887,Justin Fields,QB,KC,334,SUPERFLEX,453,0,170.0,0.5,10.6
2026,5083754,Ryan Flournoy,WR,DAL,335,SUPERFLEX,299,0,171.0,4.1,89.3
2026,4870612,Zachariah Branch,WR,ATL,336,SUPERFLEX,305,0,170.7,4.7,82.4
2026,4723820,Omar Cooper Jr.,WR,NYJ,337,SUPERFLEX,306,0,171.0,5.6,87.6
2026,4429022,Kayshon Boutte,WR,HOU,338,SUPERFLEX,307,0,170.6,14.6,139.0
2026,4361411,Pat Freiermuth,TE,PIT,341,SUPERFLEX,301,0,169.7,14.1,136.3
2026,-16027,Buccaneers D/ST,DEF,TB,342,SUPERFLEX,338,0,170.6,14.2,93.0
2026,-16009,Packers D/ST,DEF,GB,343,SUPERFLEX,339,0,169.6,17.0,89.5
2026,17372,Chris Boswell,K,PIT,344,SUPERFLEX,340,0,164.8,38.0,142.8
2026,3150744,Chase McLaughlin,K,TB,345,SUPERFLEX,341,0,170.2,16.4,142.1
2026,4569603,Malik Washington,WR,MIA,347,SUPERFLEX,308,0,169.9,8.2,113.7
2026,2977187,Cooper Kupp,WR,SEA,348,SUPERFLEX,325,0,169.3,11.4,101.5
2026,4430034,Xavier Legette,WR,CAR,349,SUPERFLEX,328,0,170.7,1.9,93.9
2026,4361409,Jahan Dotson,WR,ATL,350,SUPERFLEX,329,0,170.6,1.2,92.6
2026,4686422,Xavier Hutchinson,WR,HOU,351,SUPERFLEX,330,0,170.5,0.8,91.1
2026,4249417,Jalen Tolbert,WR,MIA,353,SUPERFLEX,331,0,170.5,0.9,89.4
2026,4869961,Chris Bell,WR,MIA,355,SUPERFLEX,332,0,170.6,3.6,88.3
2026,4427095,DeMario Douglas,WR,NE,356,SUPERFLEX,333,0,170.4,1.0,82.0
2026,3916945,Darius Slayton,WR,FA,357,SUPERFLEX,335,0,170.4,1.1,80.1
2026,5081432,Antonio Williams,WR,WSH,358,SUPERFLEX,337,0,170.4,2.0,77.6
2026,4911851,LeQuint Allen Jr.,RB,JAX,360,SUPERFLEX,346,0,170.3,0.6,43.9
2026,4429835,George Holani,RB,SEA,361,SUPERFLEX,349,0,170.3,3.6,41.5
2026,4360516,Tyrone Tracy Jr.,RB,NYG,362,SUPERFLEX,350,0,170.3,6.9,40.9
2026,4430871,Sean Tucker,RB,TB,363,SUPERFLEX,351,0,170.3,0.8,36.9
2026,4686468,Seth McGowan,RB,IND,364,SUPERFLEX,352,0,170.3,0.9,36.3
2026,4685397,Jordan James,RB,SF,367,SUPERFLEX,353,0,170.4,2.4,29.1
2026,4431545,Will Shipley,RB,PHI,368,SUPERFLEX,355,0,170.2,0.6,28.2
2026,4887558,Emanuel Wilson,RB,SEA,369,SUPERFLEX,356,0,170.2,0.5,9.9
2026,3117256,Dalton Schultz,TE,HOU,370,SUPERFLEX,303,0,168.9,18.2,132.9
2026,4686728,Gunnar Helm,TE,TEN,371,SUPERFLEX,313,0,170.7,5.7,126.9
2026,4360635,Chig Okonkwo,TE,WSH,373,SUPERFLEX,315,0,170.1,8.4,120.9
2026,11252,Joe Flacco,QB,CIN,374,SUPERFLEX,454,0,170.0,0.3,10.5
2026,4241464,Mac Jones,QB,SF,375,SUPERFLEX,455,0,170.0,0.3,8.6
2026,4576297,AJ Barner,TE,SEA,376,SUPERFLEX,317,0,169.7,6.8,113.8
2026,4362478,Emari Demercado,RB,DAL,377,SUPERFLEX,357,0,170.2,0.7,24.6
2026,4362921,Tyquan Thornton,WR,KC,379,SUPERFLEX,358,0,170.2,0.9,77.3
2026,4635008,Keon Coleman,WR,BUF,383,SUPERFLEX,359,0,170.2,2.0,75.5
2026,-16030,Jaguars D/ST,DEF,JAX,384,SUPERFLEX,361,0,167.2,55.5,77.0
2026,-16018,Saints D/ST,DEF,NO,386,SUPERFLEX,363,0,170.6,3.6,89.0
2026,4360234,Evan McPherson,K,CIN,388,SUPERFLEX,364,0,169.2,21.0,141.8
2026,10621,Nick Folk,K,ATL,389,SUPERFLEX,365,0,170.2,4.9,141.2
2026,4367209,Greg Dulcich,TE,MIA,391,SUPERFLEX,366,0,170.4,3.2,118.9
2026,2576925,Darren Waller,TE,CAR,392,SUPERFLEX,367,0,170.4,3.4,114.4
2026,4243331,Cade Otton,TE,TB,393,SUPERFLEX,369,0,170.3,2.5,102.0
2026,5123663,Isaac TeSlaa,WR,DET,394,SUPERFLEX,370,0,170.2,2.9,72.8
2026,4600981,Pat Bryant,WR,DEN,396,SUPERFLEX,371,0,170.3,1.9,72.7
2026,4686472,Marvin Mims Jr.,WR,DEN,397,SUPERFLEX,372,0,170.1,0.9,70.0
2026,4368003,Andrei Iosivas,WR,CIN,398,SUPERFLEX,376,0,170.1,0.5,67.6
2026,4819231,Kaleb Johnson,RB,GB,399,SUPERFLEX,378,0,170.1,8.0,7.9
2026,4685555,Nicholas Singleton,RB,TEN,400,SUPERFLEX,380,0,170.2,1.6,19.8
